Material_Code,itemdesc,Item_Type,State_Name,Valid_Start_Date,Valid_End_Date,Sale_Start_Date,Sale_End_Date,SerialNo_Entry_Start_Date,SerialNo_Entry_End_Date,Entries_Count,Multiplier_Count,Multiplier_Type
F1102CI30150,LUM12V150AH EXTT18000 FNSD PKLD BTY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1113BI50100,LUM 12100L SOLAR TUB PCKLD FNSD BTY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1113BI60135,LUM 12135H SOLAR TUB PCKLD FNSD BTY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1102CH10150,LUM 12V160AH LFTT550 TUB PKLD FNSD BT,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1113B810150,LUM 12150H SOLAR TUB PCKLD FNSD BTY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1113BI70020,LUM 1220H SOLAR FNSD TUB PKLD BTY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1113BJ60020,LUM 1220L SOLAR FNSD BTY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1102NG90135,LUM 12V135AH ILT1618 FNSD AMNIA BTY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1125BM20150,CRUZE 12V150AH CZ500 ST TUB PKLD BTY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1125LM30150,CRUZE 12V150AH CZ600T TUB PKLD BTY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1125CM40160,CRUZE 12V160AH CZ600 TT TUB PKLD BTY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1125BM10120,CRUZE 12V120AH CZ300 ST TUB PKLD BTY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1125AL80135,CRUZE 12V135AH CZ5000 FP CURED BTY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1125AL90150,CRUZE 12V150AH CZ6000 FP CURED BTY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
F1102LN20150,LUM 12V150AH LFTT500 TUB PKLD FNSD BTY,Battery,ANDAMAN AND NICOBAR,05-01-2020,06-01-2020,05-01-2020,06-01-2020,05-01-2020,06-01-2020,1,22.33,add
